clearance_mm,pixel_noise_std,trial_idx,success,reason,true_offset_mm,vision_error_mm,spiral_iters,insert_iters,insertion_depth_mm,tilt_deg,xy_error_mm,max_contact_force
1.0,0.0,0,True,inserted,8.036230139699844,1.4816789656325464,1,20,28.327417423778282,4.041012448294802,2.604448011936118,445.50447296690294
1.0,0.0,1,True,inserted,17.282806281926774,1.8514512982568607,1,20,28.171643135298666,4.085525160505816,2.5970028715684834,394.3464661092926
1.0,0.0,2,True,inserted,12.789234524497557,2.0014313987628705,1,20,27.63688043777641,4.1050051475372165,2.6723701015881085,443.140997747544
1.0,0.0,3,True,inserted,13.117623200825271,1.4142532478196428,1,20,28.31269526132261,4.06806174751384,2.4150342088581604,400.9641290649801
1.0,0.0,4,True,inserted,17.672838486723453,1.379638762421471,1,1,30.09036212282986,0.9070135701836777,1.0355937288576096,0.0
1.0,0.0,5,True,inserted,15.596654630858003,1.763331663995171,1,20,27.96588513649621,4.167060574810609,2.7750671895968306,418.8826686076185
1.0,0.0,6,True,inserted,14.60781932655735,1.5488677756831641,1,19,27.399392373640044,4.297250659267732,2.705467601287879,499.4970319823848
1.0,0.0,7,True,inserted,6.440755646849483,1.102784690850213,1,1,30.091984406494813,0.8535762713166439,1.2342464291452437,0.0
1.0,0.0,8,True,inserted,18.09090517502108,1.3130884127704525,1,20,28.186640620686223,4.041633684650921,2.4930025529595508,459.56894918383796
1.0,0.0,9,True,inserted,5.610760077040091,1.6384266404441477,1,19,27.95942717141438,3.632724365646156,2.324830009017458,450.1934109245413
1.0,0.0,10,True,inserted,15.319065521989506,1.5532488202586108,1,20,28.19943254888715,4.067130397267522,2.6319704576533467,452.7094535473328
1.0,0.0,11,True,inserted,7.1664105128064275,1.5726883842396424,1,19,27.952812717037588,3.595430959805226,2.23236828181134,417.2557305664224
1.0,0.0,12,True,inserted,6.562435392621846,1.3191723371166895,1,19,28.05681136936287,3.6411619688368764,2.222816895993271,418.3772201359748
1.0,0.0,13,True,inserted,6.68804409817393,2.0739520288774944,1,21,27.063289162262798,4.310802298010515,2.8189424516724464,406.19732023634344
1.0,0.0,14,True,inserted,5.7085816597230465,0.7127634678028202,1,1,30.09324453175288,0.8569865141899503,0.8223107197308641,0.0
1.0,2.0,0,True,inserted,13.702349500739194,4.036036904805147,1,1,30.12602900416299,0.9485272074007591,1.4959282699498662,46.120561488655184
1.0,2.0,1,True,inserted,5.75867410676238,1.9400112469493196,1,20,28.01026057523539,3.9699240200872086,2.513851328809975,464.25882790239496
1.0,2.0,2,True,inserted,5.849554741756222,5.62842387532232,1,22,27.324240507877732,4.450499219233297,2.699625962678182,504.19126287684026
1.0,2.0,3,True,inserted,14.285704173730158,3.191330265517745,1,10,28.357228866698627,0.9129443485880089,2.0394000834095714,449.70918080938
1.0,2.0,4,True,inserted,15.978918205205355,7.402061902761985,1,20,27.906419561263114,3.404102916419642,2.525719105935399,399.7101065124101
1.0,2.0,5,False,spiral_exhausted,11.632641697731584,8.028569668254882,220,,0.29785009224071735,3.6403929896952074,,
1.0,2.0,6,True,inserted,14.12613952805042,2.8404962414142365,1,20,28.654011619111873,3.325368319365114,2.1087406164825677,458.3468172183943
1.0,2.0,7,True,inserted,10.596865895260576,5.22924445193191,1,1,30.09735060895976,1.847607493657206,1.7842558922392437,81.2838558095792
1.0,2.0,8,True,inserted,15.6816670302686,5.024754338351715,1,10,28.614117347269747,0.625077091245829,1.5434119752658741,369.72996124341876
1.0,2.0,9,True,inserted,9.487057607671627,7.434549457475812,1,23,28.47765510239992,3.2132131085974227,2.145539402666809,479.23488131364854
1.0,2.0,10,True,inserted,6.502221563616352,7.820662388299682,1,23,28.31526557557349,3.6945806782636335,2.2711136176502884,565.4593725834856
1.0,2.0,11,True,inserted,10.38681307289,6.336809614235358,1,23,28.18269958144585,4.0925362342958795,2.566008043352763,488.3923839948452
1.0,2.0,12,True,inserted,12.50785021644722,7.336363678689826,1,25,27.54891133369399,1.3842412767286951,1.9635240416240454,469.0669527589047
1.0,2.0,13,True,inserted,13.3871929208684,6.673460076744465,1,13,27.257318638264515,1.714598961806394,2.0579573504928876,462.1017297205505
1.0,2.0,14,True,inserted,13.637715168894616,4.244821219660776,1,19,27.535109163922698,3.0418613160135717,1.9857043719522516,433.62067448747985
1.0,4.0,0,False,spiral_exhausted,4.247096576329817,17.87443956115465,220,,0.05112239435125371,0.8953128615039627,,
1.0,4.0,1,True,inserted,13.521543282610528,3.5153499570305944,1,21,27.66103696137677,4.277587975847411,2.589365822633571,386.1151784500102
1.0,4.0,2,True,inserted,7.732251947669921,11.004190374142127,1,16,27.136807965434482,1.324042106318237,2.0420082326638074,381.6838112381255
1.0,4.0,3,True,inserted,8.947702593599963,3.055955035887129,1,1,30.05063863396844,0.636302629358409,1.3645936562283847,17.62447626246738
1.0,4.0,4,False,spiral_exhausted,9.46612245474012,13.047308253122635,220,,0.3080339539670851,3.6519150733730723,,
1.0,4.0,5,False,spiral_exhausted,13.440696436022508,11.08131452280231,220,,0.26848483668801687,3.8922580648838037,,
1.0,4.0,6,True,inserted,19.01266737152955,15.272169140564689,40,27,28.382603944260087,2.5489726260978753,2.137889596325737,389.50523565515255
1.0,4.0,7,True,inserted,18.094322414404886,3.2951713176588684,1,1,30.073188538729628,0.8084231255632413,1.5871496043755624,27.73926312088649
1.0,4.0,8,True,inserted,17.296447054196193,6.977448429037059,1,10,28.194204925899697,0.4490793448879638,1.0456766515921874,363.4442897730167
1.0,4.0,9,True,inserted,15.178180393902837,14.920327307839704,40,18,28.308709644922214,1.344971596128341,1.778906947182407,345.7717587001253
1.0,4.0,10,True,inserted,8.051227459358012,19.232958463515725,38,22,27.317858833048554,1.31049505515067,2.078740058972713,420.0705452841797
1.0,4.0,11,False,spiral_exhausted,14.514322623045818,13.824886775687188,220,,0.2240670102125683,3.108670354798423,,
1.0,4.0,12,False,spiral_exhausted,2.0769723201282346,14.65073716052211,220,,0.23562095073364347,3.876690357481172,,
1.0,4.0,13,True,inserted,15.442200400850574,14.191121553944015,1,21,27.68079246833801,1.2371103117747204,2.081168095391833,441.5123951996525
1.0,4.0,14,True,inserted,14.55913533139735,8.183292008427184,1,12,27.470751130709356,1.098903598281518,1.9301834509392184,419.8703337334971
1.0,6.0,0,True,inserted,16.453645582534044,2.2735283805884876,1,21,28.15320485090951,4.178821991325124,2.998065662822594,374.95753324260966
1.0,6.0,1,True,inserted,12.878815768251975,9.985505816127784,1,25,27.68596891164271,4.137143905874623,2.557078077378711,567.7035125967265
1.0,6.0,2,True,inserted,16.547795335869587,21.163784552140587,74,23,28.643605549440196,3.1335105962639482,2.2488891589639555,380.72740101793175
1.0,6.0,3,False,spiral_exhausted,5.117409942661106,19.391966951057054,220,,0.012245070922366208,1.827232031524256,,
1.0,6.0,4,True,inserted,7.471089475597974,15.420390252396672,29,35,28.58957288405575,3.7991383929428566,2.728197608761637,506.9188376983511
1.0,6.0,5,False,spiral_exhausted,13.986798803442182,22.886459658806185,220,,0.17117554240506094,1.4267059384898086,,
1.0,6.0,6,False,spiral_exhausted,12.930070904889659,35.98338141570569,220,,0.0,0.06601865614999741,,
1.0,6.0,7,True,inserted,3.0510110203480134,10.968797267369537,1,13,28.588626978112437,0.6094055519051816,1.6019062133556081,387.9271792169316
1.0,6.0,8,False,spiral_exhausted,6.601562765469738,21.422700640521246,220,,0.13639910777101666,1.5224711309478962,,
1.0,6.0,9,False,spiral_exhausted,9.894907748981561,15.585950846207076,220,,0.15982110104340724,1.1904320725237958,,
1.0,6.0,10,False,spiral_exhausted,14.31875486487062,22.01349536746861,220,,0.012066568495151808,0.5714365415622858,,
1.0,6.0,11,True,inserted,3.229667787745721,4.368504181918795,1,23,28.66246660758245,3.775157604872237,2.4850881317522906,445.4457034141729
1.0,6.0,12,False,spiral_exhausted,10.999381634202566,21.38419059797767,220,,0.1752510161343035,1.439259824968,,
1.0,6.0,13,False,spiral_exhausted,18.416535958561084,21.288741527827593,220,,0.12984704662306196,2.4683376418250367,,
1.0,6.0,14,True,inserted,10.21457179000774,6.190175251634227,1,1,30.160674863287777,2.211802286416087,1.4794151040940005,117.89701312334337
1.0,8.0,0,False,spiral_exhausted,15.248651245550922,24.221371108903867,220,,0.0,0.27506729900623983,,
1.0,8.0,1,False,spiral_exhausted,8.184857677637407,13.49934664491397,220,,0.2537858921192876,3.460332457393712,,
1.0,8.0,2,False,spiral_exhausted,14.636420719174527,18.540484335168205,220,,0.15700139156741427,0.23359260768943896,,
1.0,8.0,3,False,timeout,17.158715997085377,53.063210845873776,212,220,30.30047925027496,1.8401975318891712,,7.965028654606935
1.0,8.0,4,False,spiral_exhausted,4.1512189480458135,17.1470187003224,220,,0.12666560647857372,2.5191391989601493,,
1.0,8.0,5,True,inserted,16.51422955755176,34.505523321631394,114,25,27.564626775379715,1.2526782479630996,1.9139223946434567,395.0275734805682
1.0,8.0,6,True,inserted,8.97549730018993,1.8409268387050302,1,1,30.0149584959258,0.5468515165840986,1.2469584877154467,2.0791964677506507
